Agente,Episodio,Recompensa,Tripwires,Flexibilidad,Robustez,Q-optimal,PGF_Bruto_Avg,PGF_Costo_Avg,RiskEffective_Avg,Surprise_Avg
simbiosis,1,-59.8,0.0,0.5,1.0,0.9,5.5,0.0,0.2725,0.0
simbiosis,2,-59.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2774999999999999,0.0
simbiosis,3,-59.42,0.0,0.5,0.9733333333333334,0.8,5.499535732727304,0.0,0.2819069444444445,0.0
simbiosis,4,-59.599999999999994,0.0,0.5,1.0,0.8,5.5,0.0,0.2733333333333333,0.0
simbiosis,5,-59.0,0.0,0.5,1.0,0.6666666666666666,5.5,0.0,0.31,0.0
simbiosis,6,-59.8,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2725,0.0
simbiosis,7,-59.6,0.0,0.5,1.0,0.8,5.5,0.0,0.2833333333333333,0.0
simbiosis,8,-59.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2791666666666667,0.0
simbiosis,9,-59.6,0.0,0.5,1.0,0.9,5.5,0.0,0.31333333333333335,0.0
simbiosis,10,-59.2,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.2852777777777778,0.0
simbiosis,11,-59.4,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.27416666666666667,0.0
simbiosis,12,-56.81,1.0,0.5,0.9866666666666667,0.8,5.486580129702268,0.0,0.26748997726810225,0.03333333333333333
simbiosis,13,-56.8,0.0,0.5,1.0,0.9666666666666667,5.5,0.0,0.222873260998261,0.0
simbiosis,14,-59.0,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.2822222222222222,0.0
simbiosis,15,-56.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.2393315943315943,0.0
simbiosis,16,-59.6,0.0,0.5,1.0,0.9,5.5,0.0,0.2983333333333333,0.0
simbiosis,17,-56.6,0.0,0.5,1.0,0.8,5.5,0.0,0.24092881655381654,0.0
simbiosis,18,-59.41,0.0,0.5,0.9866666666666667,0.7333333333333333,5.499767866363651,0.0,0.2772034722222222,0.0
simbiosis,19,-60.2,2.0,0.5,1.0,0.7666666666666667,5.473624526677233,0.0,0.36489583333333336,0.06666666666666667
simbiosis,20,-59.8,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.27583333333333326,0.0
simbiosis,21,-56.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.2246556684056684,0.0
simbiosis,22,-56.6,0.0,0.5,1.0,0.8666666666666667,5.5,0.0,0.22724284974284975,0.0
simbiosis,23,-59.6,0.0,0.5,1.0,0.9,5.5,0.0,0.2733333333333334,0.0
simbiosis,24,-56.199999999999996,0.0,0.5,1.0,0.8333333333333334,5.5,0.0,0.23274387649387648,0.0
simbiosis,25,-56.8,0.0,0.5,1.0,0.7666666666666667,5.5,0.0,0.23832197894697896,0.0
simbiosis,26,-56.4,0.0,0.5,1.0,0.8,5.5,0.0,0.23710174085174085,0.0
simbiosis,27,-56.6,0.0,0.5,1.0,0.9333333333333333,5.5,0.0,0.23308159433159434,0.0
simbiosis,28,-59.21,0.0,0.5,0.9866666666666667,0.7666666666666667,5.499767866363652,0.0,0.2902246527777778,0.0
